Series,Terms,Approximation,Error
Ramanujan,1,3.1415927300133055,7.642351242185135e-08
Ramanujan,2,3.141592653589794,6.395362624430265e-16
Ramanujan,3,3.141592653589793,5.6824232560139595e-24
Ramanujan,4,3.141592653589793,5.238896280481105e-32
Ramanujan,5,3.141592653589793,4.944187579249153e-40
